City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Hermanus,ZA,2022-01-29 02:23:03,-34.4187,19.2345,62.91,77,52,11.88
94,Tuktoyaktuk,CA,2022-01-29 02:23:03,69.4541,-133.0374,-16.6,69,75,18.41
95,Inirida,CO,2022-01-29 02:23:04,3.8653,-67.9239,75.36,62,99,2.13
96,Poum,NC,2022-01-29 02:23:04,-20.2333,164.0167,83.5,73,70,9.26
97,Dawei,MM,2022-01-29 02:23:04,14.0833,98.2,79.5,54,76,1.68
98,Capelle,DE,2022-01-29 02:23:05,51.7317,7.5923,43.61,85,100,16.64
99,Bethel,US,2022-01-29 02:23:05,41.3712,-73.414,30.36,87,100,0.0
100,Grand Gaube,MU,2022-01-29 02:23:06,-20.0064,57.6608,77.38,84,2,1.99
101,Kaitangata,NZ,2022-01-29 02:21:11,-46.2817,169.8464,62.92,72,99,3.83
102,Atessa,IT,2022-01-29 02:23:06,42.0693,14.4511,40.01,70,55,6.02
103,Tambacounda,SN,2022-01-29 02:23:06,13.7539,-13.7586,78.85,24,0,4.61
104,Petropavlovsk-Kamchatskiy,RU,2022-01-29 02:21:05,53.0452,158.6483,25.39,93,100,4.47
105,Dikson,RU,2022-01-29 02:22:17,73.5069,80.5464,3.54,94,100,18.1
106,Toamasina,MG,2022-01-29 02:23:07,-18.1667,49.3833,71.6,94,75,6.91
107,Ponta Do Sol,PT,2022-01-29 02:23:07,32.6667,-17.1,60.71,59,54,4.85
108,Tombouctou,ML,2022-01-29 02:23:08,20.0,-3.0,65.98,16,81,9.48
109,Atbasar,KZ,2022-01-29 02:23:08,51.8,68.3333,0.32,88,100,6.49
110,Zhob,PK,2022-01-29 02:23:08,31.3411,69.4481,43.07,45,3,0.43
111,Lanzhou,CN,2022-01-29 02:23:09,36.0564,103.7922,18.68,80,63,2.59
112,Saskylakh,RU,2022-01-29 02:23:09,71.9167,114.0833,-1.68,92,100,4.34
113,Coari,BR,2022-01-29 02:23:09,-4.085,-63.1414,73.72,99,100,1.61
114,Pouembout,NC,2022-01-29 02:23:10,-21.1333,164.9,86.92,62,99,7.76
115,Geraldton,AU,2022-01-29 02:23:10,-28.7667,114.6,100.13,26,0,16.11
116,Berdigestyakh,RU,2022-01-29 02:23:10,62.0989,126.6992,-11.24,95,100,7.58
117,Del Rio,US,2022-01-29 02:23:11,29.3627,-100.8968,48.42,36,0,1.99
118,Kawalu,ID,2022-01-29 02:23:11,-7.3817,108.2082,81.12,74,100,1.14
119,Dublin,US,2022-01-29 02:23:11,37.7021,-121.9358,59.59,66,0,1.01
120,Sorgun,TR,2022-01-29 02:23:12,39.8101,35.186,-2.43,99,78,1.05
121,Torbat-E Jam,IR,2022-01-29 02:23:12,35.244,60.6225,38.43,79,80,1.36
122,Lokosovo,RU,2022-01-29 02:21:19,61.1333,74.8167,-13.14,100,83,4.32
123,Ahipara,NZ,2022-01-29 02:23:12,-35.1667,173.1667,75.88,49,99,8.66
124,Okhotsk,RU,2022-01-29 02:23:13,59.3833,143.3,12.81,77,100,16.82
125,Bakel,SN,2022-01-29 02:23:13,14.905,-12.4568,77.36,18,50,10.27
126,Beringovskiy,RU,2022-01-29 02:23:13,63.05,179.3167,-0.69,98,97,2.53
127,Airai,TL,2022-01-29 02:23:14,-8.9266,125.4092,71.64,61,100,4.7
128,La Tuque,CA,2022-01-29 02:22:49,47.4334,-72.7824,-18.15,76,31,1.14
129,Kidal,ML,2022-01-29 02:23:14,18.4411,1.4078,62.28,19,1,12.46
130,Faanui,PF,2022-01-29 02:23:14,-16.4833,-151.75,81.48,73,6,14.88
131,Palauig,PH,2022-01-29 02:23:15,15.435,119.9045,82.33,72,88,1.21
132,Mnogovershinnyy,RU,2022-01-29 02:23:15,53.9353,139.9242,-8.54,79,6,4.83
133,Saint-Pierre,RE,2022-01-29 02:23:15,-21.3393,55.4781,73.08,73,0,5.75
134,Namatanai,PG,2022-01-29 02:23:16,-3.6667,152.4333,84.11,73,100,5.28
135,Ilulissat,GL,2022-01-29 02:23:16,69.2167,-51.1,21.22,53,100,19.57
136,Boysun,UZ,2022-01-29 02:23:16,38.2061,67.1986,29.3,74,55,8.95
137,Quatre Cocos,MU,2022-01-29 02:23:17,-20.2078,57.7625,77.09,81,7,8.66
138,San Cristobal,VE,2022-01-29 02:24:17,7.7669,-72.225,73.58,86,5,3.04
139,Port Elizabeth,ZA,2022-01-29 02:20:59,-33.918,25.5701,65.1,94,0,5.75
140,Sulina,RO,2022-01-29 02:24:18,45.1559,29.6536,34.2,77,64,11.99
141,Atar,MR,2022-01-29 02:24:18,20.5169,-13.0499,69.75,25,100,6.73
142,Banyumas,ID,2022-01-29 02:24:18,-7.5142,109.2942,83.84,71,88,0.49
143,Kununurra,AU,2022-01-29 02:24:19,-15.7667,128.7333,89.58,66,40,10.36
144,Bathsheba,BB,2022-01-29 02:24:19,13.2167,-59.5167,75.06,82,20,10.36
145,Victoria,HK,2022-01-29 02:19:32,22.2855,114.1577,66.38,86,99,1.01
146,Provideniya,RU,2022-01-29 02:24:20,64.3833,-173.3,1.08,97,18,2.66
147,Westport,US,2022-01-29 02:24:20,41.1415,-73.3579,31.62,90,100,5.01
148,Clyde River,CA,2022-01-29 02:24:20,70.4692,-68.5914,-9.17,84,100,34.52
149,Kamenka,RU,2022-01-29 02:24:21,51.3223,42.7678,20.75,96,100,11.79
150,Qaanaaq,GL,2022-01-29 02:24:21,77.484,-69.3632,-12.66,62,94,7.52
151,Esmeraldas,BR,2022-01-29 02:24:21,-19.7625,-44.3139,77.31,82,100,1.99
152,Helong,CN,2022-01-29 02:24:22,42.5397,128.9972,13.1,61,47,12.03
153,Prachuap Khiri Khan,TH,2022-01-29 02:24:22,12.2167,99.75,81.68,52,13,2.19
154,Port Lincoln,AU,2022-01-29 02:19:31,-34.7333,135.8667,69.89,70,99,15.17
155,Inuvik,CA,2022-01-29 02:24:22,68.3499,-133.7218,-17.54,76,20,4.61
156,Waipawa,NZ,2022-01-29 02:24:23,-41.4122,175.5153,72.23,39,0,7.74
157,Bocaiuva,BR,2022-01-29 02:24:23,-17.1078,-43.815,69.51,81,13,2.55
158,Yaan,NG,2022-01-29 02:24:23,7.3833,8.5667,78.89,21,98,8.1
159,Anadyr,RU,2022-01-29 02:24:24,64.75,177.4833,-5.01,83,100,0.0
160,Longyearbyen,SJ,2022-01-29 02:24:24,78.2186,15.6401,6.64,78,0,14.97
161,Pierre,US,2022-01-29 02:24:24,44.3683,-100.351,38.28,55,0,5.75
162,Ballina,AU,2022-01-29 02:24:24,-28.8667,153.5667,84.24,73,75,12.66
163,Laguna,US,2022-01-29 02:24:25,38.421,-121.4238,57.63,68,0,0.0
164,Linda,US,2022-01-29 02:24:25,39.1277,-121.5508,57.94,65,0,0.0
165,Lakes Entrance,AU,2022-01-29 02:24:25,-37.8811,147.981,71.58,95,100,6.6
166,Port Augusta,AU,2022-01-29 02:24:26,-32.5,137.7667,92.71,39,0,13.58
167,Shashi,CN,2022-01-29 02:24:26,30.3072,112.2447,35.78,86,99,9.78
168,Harper,LR,2022-01-29 02:24:26,4.375,-7.7169,79.12,81,93,5.59
169,Samarai,PG,2022-01-29 02:24:27,-10.6167,150.6667,85.15,65,100,2.17
170,Chuy,UY,2022-01-29 02:24:27,-33.6971,-53.4616,64.36,77,0,6.46
171,Bambous Virieux,MU,2022-01-29 02:20:01,-20.3428,57.7575,77.22,94,40,1.14
172,Kupang,ID,2022-01-29 02:24:27,-10.1667,123.5833,84.78,79,75,10.36
173,Mahebourg,MU,2022-01-29 02:24:28,-20.4081,57.7,77.25,94,40,1.14
174,Weligama,LK,2022-01-29 02:24:28,5.9667,80.4167,75.72,84,24,3.78
175,Conceicao Da Barra,BR,2022-01-29 02:21:30,-18.5933,-39.7322,76.39,87,69,7.61
176,Hailar,CN,2022-01-29 02:24:28,49.2,119.7,-8.0,89,15,5.99
177,Pevek,RU,2022-01-29 02:24:29,69.7008,170.3133,-10.03,98,100,2.21
178,Dhidhdhoo,MV,2022-01-29 02:24:29,6.8833,73.1,81.7,71,61,19.6
179,Marataizes,BR,2022-01-29 02:24:29,-21.0433,-40.8244,76.26,86,90,15.01
180,Cidreira,BR,2022-01-29 02:19:58,-30.1811,-50.2056,69.94,74,14,12.68
181,Cherskiy,RU,2022-01-29 02:24:30,68.75,161.3,-10.53,95,100,5.79
182,Gunjur,GM,2022-01-29 02:25:30,13.2019,-16.7339,71.67,56,0,9.22
183,Sao Filipe,CV,2022-01-29 02:25:30,14.8961,-24.4956,71.01,71,88,10.89
184,Adrar,MR,2022-01-29 02:25:31,20.5022,-10.0711,71.26,12,100,3.8
185,Cabedelo,BR,2022-01-29 02:25:31,-6.9811,-34.8339,74.07,75,100,10.11
186,Buchanan,LR,2022-01-29 02:25:31,5.8808,-10.0467,76.96,82,42,2.75
187,Belyy Yar,RU,2022-01-29 02:25:32,53.6039,91.3903,-9.51,66,40,2.24
188,Kapaa,US,2022-01-29 02:23:29,22.0752,-159.319,80.58,68,20,1.99
189,Lompoc,US,2022-01-29 02:24:38,34.6391,-120.4579,60.94,54,0,3.44
190,Agirish,RU,2022-01-29 02:25:32,61.9247,63.0231,-10.82,100,35,3.87
191,Shelton,US,2022-01-29 02:24:45,41.3165,-73.0932,31.84,85,100,1.01
192,Fort Nelson,CA,2022-01-29 02:25:33,58.8053,-122.7002,15.39,92,100,6.91
193,Teknaf,BD,2022-01-29 02:25:33,20.8624,92.3058,61.68,56,4,10.76
194,Pisco,PE,2022-01-29 02:25:33,-13.7,-76.2167,69.85,68,0,8.05
195,Upernavik,GL,2022-01-29 02:25:34,72.7868,-56.1549,6.4,73,100,2.98
196,Posadas,AR,2022-01-29 02:25:34,-27.3671,-55.8961,70.97,70,0,5.26
197,Kodiak,US,2022-01-29 02:25:34,57.79,-152.4072,27.91,69,100,19.57
198,Zhanakorgan,KZ,2022-01-29 02:25:34,43.9098,67.2495,31.05,97,100,21.45
199,Darnah,LY,2022-01-29 02:25:35,32.767,22.6367,53.11,75,4,11.88
200,Leshukonskoye,RU,2022-01-29 02:25:35,64.8989,45.7622,13.05,95,98,6.44
201,Naze,JP,2022-01-29 02:25:36,28.3667,129.4833,54.52,80,100,10.09
202,Kokopo,PG,2022-01-29 02:25:36,-4.352,152.2633,85.69,65,97,10.16
203,Bilma,NE,2022-01-29 02:24:43,18.6853,12.9164,55.63,20,0,9.62
204,Carutapera,BR,2022-01-29 02:25:36,-1.195,-46.02,75.06,91,100,10.31
205,Hamilton,US,2022-01-29 02:21:52,39.1834,-84.5333,18.39,85,100,3.0
206,Andenes,NO,2022-01-29 02:25:37,69.3143,16.1194,24.78,68,16,19.57
207,Ormara,PK,2022-01-29 02:25:37,25.2088,64.6357,67.91,65,0,8.39
208,Calamar,CO,2022-01-29 02:25:37,10.2511,-74.9146,78.75,79,35,9.33
209,Roswell,US,2022-01-29 02:22:46,34.0232,-84.3616,36.39,75,75,3.0
210,Thompson,CA,2022-01-29 02:25:38,55.7435,-97.8558,-7.44,77,100,0.0
211,Constitucion,CL,2022-01-29 02:25:38,-35.3333,-72.4167,56.93,93,5,4.85
212,Kemnay,GB,2022-01-29 02:25:39,57.2357,-2.444,55.98,79,80,4.0
213,Hirara,JP,2022-01-29 02:25:39,24.8,125.2833,68.27,100,75,4.61
214,Yarkovo,RU,2022-01-29 02:25:39,57.4028,67.0786,2.08,98,100,3.13
215,Cajati,BR,2022-01-29 02:25:39,-24.7361,-48.1228,67.35,99,100,1.12
216,Quelimane,MZ,2022-01-29 02:25:40,-17.8786,36.8883,76.95,94,40,0.0
217,Taoudenni,ML,2022-01-29 02:25:40,22.6783,-3.9836,69.33,11,100,11.9
218,Kamskiye Polyany,RU,2022-01-29 02:25:40,55.4307,51.4171,7.61,95,100,3.56
219,Kamenz,DE,2022-01-29 02:25:41,51.268,14.0937,36.75,95,99,13.02
220,Plock,PL,2022-01-29 02:25:41,52.5468,19.7064,30.16,81,100,10.92
221,Mattru,SL,2022-01-29 02:25:41,7.6244,-11.8332,73.85,92,49,0.54
222,Oranjemund,NA,2022-01-29 02:25:42,-28.55,16.4333,62.85,88,5,13.8
223,Olafsvik,IS,2022-01-29 02:23:02,64.8945,-23.7142,24.93,69,24,15.52
224,Sigli,ID,2022-01-29 02:25:42,5.3848,95.9609,81.72,75,63,1.68
225,Juba,SS,2022-01-29 02:25:43,4.8517,31.5825,70.93,35,91,3.04
226,Yanahuanca,PE,2022-01-29 02:25:43,-10.5167,-76.4986,38.1,94,100,4.21
227,Adilcevaz,TR,2022-01-29 02:25:43,38.8039,42.7342,24.51,87,69,1.54
228,Russell,US,2022-01-29 02:25:43,32.3502,-85.1999,42.08,45,6,11.99
229,Sadiqabad,PK,2022-01-29 02:26:44,28.3062,70.1307,56.08,20,0,4.99
230,Fare,PF,2022-01-29 02:26:44,-16.7,-151.0167,81.75,73,0,16.31
231,Krasnosilka,UA,2022-01-29 02:26:44,46.6226,30.7742,35.71,82,96,17.25
232,Mindelo,CV,2022-01-29 02:26:45,16.8901,-24.9804,69.35,64,75,13.8
233,Caravelas,BR,2022-01-29 02:26:45,-17.7125,-39.2481,77.04,87,43,7.65
234,Alofi,NU,2022-01-29 02:26:45,-19.0595,-169.9187,78.69,89,45,13.8
