City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
299,Tiznit,MA,57.63,clear sky,29.5833,-9.5,
301,Dalby,AU,84.9,overcast clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
302,Matale,LK,69.76,scattered clouds,7.4721,80.6234,Anil's Inn
303,Nambucca Heads,AU,83.17,scattered clouds,-30.65,153.0,Marcel Towers Holiday Apartments
304,Oriximina,BR,73.08,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
305,Miles City,US,35.51,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
306,Yunyang,CN,32.7,clear sky,33.4474,112.7142,Post & Telecom Hotel
308,Takaka,NZ,74.68,clear sky,-40.85,172.8,Golden Bay Motels
310,Hirara,JP,66.06,mist,24.8,125.2833,Hotel Atoll Emerald Miyakojima
311,Slave Lake,CA,33.78,overcast clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
312,Rock Springs,US,31.44,clear sky,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
313,Guiratinga,BR,71.13,overcast clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
315,Salta,AR,71.89,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
316,Muros,ES,51.24,few clouds,42.7762,-9.0603,Apartment Av. Castelao
317,Alofi,NU,85.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
318,Kumagaya,JP,46.67,broken clouds,36.1333,139.3833,R & B Hotel Kumagaya Station
319,Providencia,MX,78.85,clear sky,28.7167,-111.5833,
320,Rincon,US,39.85,clear sky,32.296,-81.2354,Days Inn Rincon
322,Half Moon Bay,US,62.87,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
324,Banda Aceh,ID,80.15,broken clouds,5.5577,95.3222,Sulthan Hotel International
325,Jalu,LY,53.56,overcast clouds,29.0331,21.5482,صاحبة الفخامة
326,Meulaboh,ID,76.55,scattered clouds,4.1363,96.1285,Kost Pria
327,Deloraine,AU,75.15,clear sky,-41.5333,146.6667,Mountain View Country Inn
328,Rio Verde De Mato Grosso,BR,72.39,light rain,-18.9181,-54.8442,Quedas Palace Hotel
329,Avera,US,35.71,clear sky,33.194,-82.5271,
330,Grand Gaube,MU,79.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
332,Prudnik,PL,42.6,broken clouds,50.3212,17.5746,BIAŁA AKACJA Resort & Business
333,Oranjestad,AW,78.3,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
334,Bucak,TR,35.64,overcast clouds,37.4592,30.595,Gülay Apart
335,Koulikoro,ML,70.14,clear sky,14.0,-7.75,
336,Chabahar,IR,71.29,clear sky,25.2919,60.643,هتل گدروشیا
337,Atambua,ID,76.19,moderate rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
338,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
339,Purwodadi,ID,83.91,overcast clouds,-7.0868,110.9158,OYO 1620 Sion Family Residence
340,Baghdad,IQ,39.11,clear sky,33.3406,44.4009,Baghdad Hotel
341,Bonavista,CA,38.12,snow,48.6499,-53.1147,Abbott's Bed & Breakfast
342,Mulki,IN,74.48,clear sky,13.1,74.8,Karnire Camping Ground
343,Mocuba,MZ,70.39,few clouds,-16.8392,36.9856,Phama Lodge
344,Kuching,MY,79.02,few clouds,1.55,110.3333,The Ranee Boutique Suites
347,Hualmay,PE,70.27,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
348,Kirakira,SB,84.85,light rain,-10.4544,161.9205,SanBiz Lodge
349,Owando,CG,72.48,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
350,Qujing,CN,38.07,clear sky,25.4833,103.7833,Yulong Hotel
351,Ahipara,NZ,76.53,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
352,Camacha,PT,60.22,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
353,Awjilah,LY,53.6,overcast clouds,29.1081,21.2869,
354,Aloleng,PH,79.99,light rain,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
355,Bandarbeyla,SO,75.33,light rain,9.4942,50.8122,JABIR HOTEL
356,Denpasar,ID,82.06,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
357,Coihueco,CL,59.74,clear sky,-36.6167,-71.8333,Frutillares Centro Coihueco
358,Rio Gallegos,AR,48.25,light rain,-51.6226,-69.2181,Hotel Santa Cruz
359,Asfi,MA,60.39,clear sky,32.2994,-9.2372,Hôtel Abda
360,Venado Tuerto,AR,69.76,clear sky,-33.7456,-61.9688,Hotel - Miro Park
362,Shu,KZ,31.03,overcast clouds,43.5983,73.7614,Shyngyzkhan
363,Kaeo,NZ,75.33,overcast clouds,-35.1,173.7833,Bushido Lodge
365,Lerwick,GB,39.2,scattered clouds,60.1545,-1.1494,The Lerwick Hotel
366,Zdolbuniv,UA,32.92,snow,50.5206,26.2425,Zorya'
367,Kabo,CF,69.49,overcast clouds,7.6994,18.629,
369,Jinotega,NI,65.59,few clouds,13.0917,-86.0018,Camping Piedra Grande
371,Mazatlan,MX,71.56,clear sky,23.2167,-106.4167,Hotel Playamar
373,Malanje,AO,63.77,light rain,-9.5402,16.341,Hotel Ginga
374,Excelsior Springs,US,45.61,clear sky,39.3392,-94.2261,The Elms Hotel & Spa
375,Puro,PH,82.08,clear sky,12.4841,123.3827,
377,Abonnema,NG,75.85,broken clouds,4.7084,6.7931,Corper's Lodge Obonoma
378,Zlitan,LY,55.08,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
380,Never,FR,42.55,overcast clouds,46.9896,3.159,Hôtel Kyriad Nevers Centre
381,Lagoa,PT,58.14,clear sky,39.05,-27.9833,Casa Das Faias
382,Ixtapa,MX,75.22,clear sky,20.7,-105.2,Hotel Plaza Providencia
383,San Clemente,US,66.42,overcast clouds,33.427,-117.612,Casablanca Inn
384,Blairmore,CA,35.47,overcast clouds,49.6,-114.4353,Highwood Motel
386,Lodwar,KE,80.87,few clouds,3.1191,35.5973,Solmar Gracious Hotel
387,Durango,MX,56.23,clear sky,24.8333,-104.8333,
388,Bulawayo,ZW,63.18,overcast clouds,-20.15,28.5833,4 On Housman Backpackers
391,Cozumel,MX,69.94,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
392,Steamboat Springs,US,35.1,clear sky,40.485,-106.8317,Steamboat Grand
393,Eureka,US,54.36,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
394,High Rock,BS,53.62,few clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
395,Raha,IN,52.74,clear sky,26.2333,92.5167,"Greedy, Brainless Rent House ( অহংকাৰী, প‌ইচাখকুৱা ভাড়াঘৰ)"
396,Beira,MZ,77.09,few clouds,-19.8436,34.8389,Beira Terrace Hotel
397,Bairiki,KI,81.82,light rain,1.3292,172.9752,Tarawa Boutique Hotel
399,Kavieng,PG,83.37,light rain,-2.5744,150.7967,Nusa Island Retreat
401,Soe,ID,75.11,overcast clouds,-9.8607,124.284,Dena Hotel
405,San Vicente,AR,62.58,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
406,Haverfordwest,GB,42.55,overcast clouds,51.8017,-4.9691,Coastal Cottages of Pembrokeshire
407,Antofagasta,CL,65.48,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
408,Los Cedrales,PY,79.32,broken clouds,-25.65,-54.7,Piro'y Eco Turismo
409,Gazojak,TM,30.31,clear sky,41.1875,61.4036,In gowy adamlaryñ yaśayan oyi
411,Barrhead,GB,40.64,broken clouds,55.7992,-4.3929,The Gleniffer
413,Gazanjyk,TM,36.55,clear sky,39.2446,55.5154,Railway motel
415,Havelock,US,31.95,clear sky,34.8791,-76.9013,Sherwood Motel
416,Sao Jose Da Coroa Grande,BR,76.15,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
417,Chuncheng,CN,52.27,clear sky,22.1731,111.7886,7Days Inn Yangjiang Yangchun Bus Terminal
418,Dingle,PH,81.54,clear sky,10.9995,122.6711,SEGAYA PROPERTY
420,Mikhaylovka,RU,34.79,light snow,50.06,43.2379,5 Komnat
421,Dunedin,NZ,58.03,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
