City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
142,Douentza,14.9951,-2.9517,69.96,15,6,7.07,ML,2022-01-30 01:25:54,clear sky
143,Sao Filipe,14.8961,-24.4956,70.63,73,31,11.48,CV,2022-01-30 01:17:39,scattered clouds
144,Codrington,-38.2667,141.9667,71.76,74,100,8.05,AU,2022-01-30 01:11:15,overcast clouds
145,Chegdomyn,51.1167,133.0167,-19.93,94,29,1.5,RU,2022-01-30 01:25:54,scattered clouds
146,Ponezhukay,44.8876,39.3855,34.84,90,100,9.06,RU,2022-01-30 01:25:55,overcast clouds
147,Coihaique,-45.5752,-72.0662,50.61,93,100,1.14,CL,2022-01-30 01:16:12,light rain
148,Pisco,-13.7,-76.2167,69.85,78,0,14.97,PE,2022-01-30 01:25:55,clear sky
149,Ilulissat,69.2167,-51.1,12.22,73,75,19.57,GL,2022-01-30 01:25:55,light snow
150,Nikolskoye,59.7035,30.7861,26.71,90,100,16.64,RU,2022-01-30 01:22:18,snow
151,Winneba,5.3511,-0.6231,77.94,91,38,2.66,GH,2022-01-30 01:25:56,scattered clouds
152,San Patricio,28.017,-97.5169,55.49,46,17,10.09,US,2022-01-30 01:24:46,few clouds
153,Hamilton,39.1834,-84.5333,22.84,68,75,1.01,US,2022-01-30 01:22:59,broken clouds
154,Yavaros,26.7,-109.5167,66.7,58,99,13.13,MX,2022-01-30 01:21:19,overcast clouds
155,Vestmannaeyjar,63.4427,-20.2734,41.0,65,100,18.72,IS,2022-01-30 01:24:27,overcast clouds
156,Puerto Ayora,-0.7393,-90.3518,73.96,82,34,6.33,EC,2022-01-30 01:24:30,scattered clouds
157,Ukiah,39.1502,-123.2078,61.43,55,0,0.0,US,2022-01-30 01:25:57,clear sky
158,Harper,4.375,-7.7169,78.8,87,10,5.86,LR,2022-01-30 01:17:49,clear sky
159,Ondangwa,-17.9167,15.95,71.6,78,100,6.91,NA,2022-01-30 01:25:57,overcast clouds
160,Machico,32.7,-16.7667,63.68,82,40,8.05,PT,2022-01-30 01:25:57,scattered clouds
161,Coquimbo,-29.9533,-71.3436,64.13,82,0,6.91,CL,2022-01-30 01:25:58,clear sky
162,Coahuayana,18.7333,-103.6833,83.68,75,0,2.84,MX,2022-01-30 01:25:58,clear sky
163,Ambulu,-8.345,113.6058,80.19,84,100,2.35,ID,2022-01-30 01:17:28,overcast clouds
164,Praia Da Vitoria,38.7333,-27.0667,57.45,88,40,12.59,PT,2022-01-30 01:19:08,scattered clouds
165,Nizwa,22.9333,57.5333,64.18,47,0,0.96,OM,2022-01-30 01:16:42,clear sky
166,Yulara,-25.2406,130.9889,78.64,83,100,13.8,AU,2022-01-30 01:25:59,overcast clouds
167,Thompson,55.7435,-97.8558,-12.84,77,20,0.0,CA,2022-01-30 01:25:59,few clouds
168,Progreso,21.2833,-89.6667,67.1,60,100,14.41,MX,2022-01-30 01:26:00,overcast clouds
169,Tasiilaq,65.6145,-37.6368,17.76,75,100,7.56,GL,2022-01-30 01:24:44,light snow
